,Unnamed: 0,Categoria,Qtd Produtos,Qtd Vendidos,Total faturamento(R$),M̩dia faturamento/venda(R$)
0,0,AGRO INDUSTRIA E COMERCIO,74,212,72530.47,342.12
1,1,ALIMENTOS,82,510,29393.41000000024,57.63
2,2,ALIMENTOS BEBIDAS,104,280,15270.469999999968,54.54
3,3,ARTES,55,209,24202.64000000003,115.8
4,4,ARTES E ARTESANATO,19,24,1814.01,75.58
5,5,ARTIGOS DE FESTAS,26,43,4485.1799999999985,104.31
6,6,ARTIGOS DE NATAL,65,153,8800.819999999989,57.52
7,7,AUDIO,58,365,50738.40000000007,139.01
8,8,AUTOMOTIVO,1900,4256,594363.1000000135,139.65
9,9,BEBES,919,3073,412117.4700000018,134.11
10,10,BEBIDAS,81,383,22505.900000000038,58.76
11,11,BELEZA SAUDE,2444,9728,1263237.539999966,129.86
12,12,BRINQUEDOS,1411,4125,484769.9000000028,117.52
13,13,CAMA MESA BANHO,3029,11272,1051085.5000000712,93.25
14,14,CASA CONFORTO,111,437,58828.740000000274,134.62
15,15,CASA CONFORTO 2,5,30,760.2699999999994,25.34
16,16,CASA CONSTRUCAO,225,605,83207.96999999977,137.53
17,17,CDS DVDS MUSICAIS,1,14,730.0,52.14
18,18,CINE FOTO,28,73,6949.359999999995,95.2
19,19,CLIMATIZACAO,124,297,55024.96000000009,185.27
20,20,CONSOLES GAMES,317,1138,158000.2199999991,138.84
21,21,CONSTRUCAO FERRAMENTAS CONSTRUCAO,400,931,145509.38999999975,156.29
22,22,CONSTRUCAO FERRAMENTAS FERRAMENTAS,39,103,15903.949999999988,154.41
23,23,CONSTRUCAO FERRAMENTAS ILUMINACAO,78,305,41308.00000000003,135.44
24,24,CONSTRUCAO FERRAMENTAS JARDIM,88,240,25769.74000000005,107.37
25,25,CONSTRUCAO FERRAMENTAS SEGURANCA,91,194,40544.52000000007,208.99
26,26,COOL STUFF,789,3806,637258.5100000036,167.44
27,27,DVDS BLU RAY,48,64,5999.390000000001,93.74
28,28,ELETRODOMESTICOS,370,809,83195.59999999998,102.84
29,29,ELETRODOMESTICOS 2,90,241,114005.19000000008,473.05
30,30,ELETRONICOS,517,2769,160461.6399999964,57.95
31,31,ELETROPORTATEIS,231,683,191571.47999999954,280.49
32,32,ESPORTE LAZER,2867,8701,993684.510000037,114.2
33,33,FASHION BOLSAS E ACESSORIOS,849,2050,153656.89999999813,74.95
34,34,FASHION CALCADOS,173,265,23767.47000000005,89.69
35,35,FASHION ESPORTE,19,31,2144.5000000000014,69.18
36,36,FASHION ROUPA FEMININA,27,50,2889.4400000000014,57.79
37,37,FASHION ROUPA INFANTO JUVENIL,5,8,569.85,71.23
38,38,FASHION ROUPA MASCULINA,95,132,10797.819999999978,81.8
39,39,FASHION UNDERWEAR E MODA PRAIA,53,131,9541.549999999985,72.84
40,40,FERRAMENTAS JARDIM,753,4361,486432.450000016,111.54
41,41,FLORES,14,33,1110.0400000000004,33.64
42,42,FRALDAS HIGIENE,12,39,1567.59,40.19
43,43,INDUSTRIA COMERCIO E NEGOCIOS,68,269,39745.61000000004,147.75
44,44,INFORMATICA ACESSORIOS,1639,7895,919721.4400000421,116.49
45,45,INSTRUMENTOS MUSICAIS,289,681,191523.7799999991,281.24
46,46,LA CUISINE,10,14,2054.99,146.78
47,47,LIVROS IMPORTADOS,31,60,4639.849999999995,77.33
48,48,LIVROS INTERESSE GERAL,216,553,46856.88000000024,84.73
49,49,LIVROS TECNICOS,123,269,19149.03,71.19
50,50,MALAS ACESSORIOS,349,1092,140429.97999999853,128.6
51,51,MARKET PLACE,104,311,28378.47000000009,91.25
52,52,MOVEIS COLCHAO E ESTOFADO,10,38,4368.08,114.95
53,53,MOVEIS COZINHA AREA DE SERVICO JANTAR E JARDIM,94,282,46457.37000000007,164.74
54,54,MOVEIS DECORACAO,2657,8416,736682.4600000465,87.53
55,55,MOVEIS ESCRITORIO,309,1701,275224.4899999964,161.8
56,56,MOVEIS QUARTO,45,110,20278.78000000001,184.35
57,57,MOVEIS SALA,156,507,69427.26000000027,136.94
58,58,MUSICA,27,38,6034.3499999999985,158.8
59,59,PAPELARIA,849,2525,231300.20999999624,91.6
60,60,PC GAMER,3,9,1545.95,171.77
61,61,PCS,30,203,222963.1299999998,1098.34
62,62,PERFUMARIA,868,3435,400212.9399999989,116.51
63,63,PET SHOP,719,1949,214591.40999999663,110.1
64,64,PORTATEIS CASA FORNO E CAFE,31,76,47445.71,624.29
65,65,PORTATEIS COZINHA E PREPARADORES DE ALIMENTOS,10,15,3968.53,264.57
66,66,RELOGIOS PRESENTES,1329,6001,1206075.3300000052,200.98
67,67,SEGUROS E SERVICOS,2,2,283.29,141.64
68,68,SINALIZACAO E SEGURANCA,93,199,21509.230000000018,108.09
69,69,TABLETS IMPRESSAO IMAGEM,9,83,7528.4099999999935,90.7
70,70,TELEFONIA,1134,4550,323839.3999999907,71.17
71,71,TELEFONIA FIXA,116,265,59622.989999999954,224.99
72,72,UNKNOWN,610,1612,180277.23999999725,111.83
73,73,UTILIDADES DOMESTICAS,2335,6989,634542.6000000248,90.79
